Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Adult
1,17,5,171,1,Complete Secondary Education,122.0,1,Incomplete Secondary Education,Complete Secondary Education,Administrative,Plant and Machine Operators,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,0
1,15,1,9254,1,Complete Secondary Education,160.0,1,Complete Secondary Education,Higher Education - Undergraduate,Professionals,Professionals,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.66666667,0,13.9,-0.3,0.79,Graduate,0
1,1,5,9070,1,Complete Secondary Education,122.0,1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,0
1,17,2,9773,1,Complete Secondary Education,122.0,1,Other Specific Qualifications,Other Specific Qualifications,Administrative,Professionals,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,0
2,39,1,8014,0,Complete Secondary Education,100.0,1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.33333333,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,1
2,39,1,9991,0,Other,133.1,1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Agriculture and Fishery,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,1
1,1,1,9500,1,Complete Secondary Education,142.0,1,Incomplete Secondary Education,Other Specific Qualifications,Agriculture and Fishery,Elementary Occupations,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,0
1,18,4,9254,1,Complete Secondary Education,119.0,1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,1
1,1,3,9238,1,Complete Secondary Education,137.0,62,Complete Secondary Education,Complete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,16.2,0.3,-0.92,Graduate,1
1,1,1,9238,1,Complete Secondary Education,138.0,1,Complete Secondary Education,Incomplete Secondary Education,Technicians,Agriculture and Fishery,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,0
1,1,1,9670,1,Complete Secondary Education,139.0,1,Other Specific Qualifications,Incomplete Secondary Education,Administrative,Agriculture and Fishery,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,0
1,1,1,9500,1,Complete Secondary Education,136.0,1,Incomplete Secondary Education,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,3.7,-1.7,Graduate,0
1,1,2,9853,1,Complete Secondary Education,133.0,1,Incomplete Secondary Education,Other Specific Qualifications,Technicians,Plant and Machine Operators,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,0
1,53,1,9254,1,Other,110.0,1,Complete Secondary Education,Complete Secondary Education,Technicians,Agriculture and Fishery,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.57142857,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,1
1,1,1,9085,1,Complete Secondary Education,149.0,1,Other Specific Qualifications,Other Specific Qualifications,Administrative,Administrative,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,0
1,1,1,9773,1,Complete Secondary Education,127.0,1,Incomplete Secondary Education,Other Specific Qualifications,Plant and Machine Operators,Professionals,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,0
1,18,1,9238,1,Complete Secondary Education,137.0,1,Incomplete Secondary Education,Other Specific Qualifications,Administrative,Craft and Related Trades,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,0
1,17,2,9500,1,Complete Secondary Education,135.0,1,Incomplete Secondary Education,Complete Secondary Education,Administrative,Technicians,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,0
1,1,1,9130,1,Complete Secondary Education,137.0,1,Higher Education - Undergraduate,Incomplete Secondary Education,Professionals,Administrative,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,0
1,1,1,9853,1,Complete Secondary Education,140.0,1,Incomplete Secondary Education,Incomplete Secondary Education,Agriculture and Fishery,Agriculture and Fishery,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,0
1,1,3,171,1,Complete Secondary Education,122.0,1,Complete Secondary Education,Complete Secondary Education,Plant and Machine Operators,Craft and Related Trades,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,1
1,18,4,9556,1,Complete Secondary Education,127.0,1,Complete Secondary Education,Other Specific Qualifications,Technicians,Agriculture and Fishery,121.8,1,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled,0
